"idx","year","temperature","carbon_emission"
"1",1958,18.9421732093664,315.33
"2",1959,18.825205922865,315.981666666667
"3",1960,18.8870130853994,316.908333333333
"4",1961,18.9235654269972,317.645
"5",1962,18.6938474517906,318.453333333333
"6",1963,18.6752479338843,318.9925
"7",1964,18.5812747933884,319.202222222222
"8",1965,18.5175406336088,320.035833333333
"9",1966,18.8662875344353,321.37
"10",1967,18.6341869834711,322.18
"11",1968,18.6058188705234,323.049166666667
"12",1969,18.7715258264463,324.621666666667
"13",1970,18.7941212121212,325.683333333333
"14",1971,18.5882066115702,326.319166666667
"15",1972,18.6656115702479,327.4575
"16",1973,18.8732933884298,329.6775
"17",1974,18.6314473140496,330.244166666667
"18",1975,18.74666184573,331.1525
"19",1976,18.4821966253444,332.1525
"20",1977,18.9222606749311,333.900833333333
"21",1978,18.7295172176309,335.504166666667
"22",1979,18.909544077135,336.850833333333
"23",1980,18.8533212809917,338.685
"24",1981,18.9161363636364,339.934166666667
"25",1982,18.8521687327824,341.131666666667
"26",1983,19.094044077135,342.781666666667
"27",1984,18.7649607438017,344.4225
"28",1985,18.6991308539945,345.904166666667
"29",1986,18.8011518595041,347.1525
"30",1987,19.0510447658402,348.9325
"31",1988,19.1116787190083,351.484166666667
"32",1989,19.0567668732782,352.9075
"33",1990,19.3176862947658,354.185833333333
"34",1991,19.0113598484848,355.591666666667
"35",1992,18.972007231405,356.373333333333
"36",1993,18.9307995867769,357.04
"37",1994,19.2517017906336,358.886666666667
"38",1995,19.2670695592287,360.878333333333
"39",1996,18.9583746556474,362.640833333333
"40",1997,19.2503508953168,363.763333333333
"41",1998,19.5967830578512,366.63
"42",1999,19.3920995179063,368.313333333333
"43",2000,19.3492021349862,369.475
"44",2001,19.4253033746556,371.020833333333
"45",2002,19.565523415978,373.096666666667
"46",2003,19.5250867768595,375.636666666667
"47",2004,19.4220919421488,377.3625
"48",2005,19.4995902203857,379.61
"49",2006,19.5391349862259,381.808333333333
"50",2007,19.6103942837466,383.5925
"51",2008,19.4239617768595,385.449166666667
"52",2009,19.5463853305785,387.358333333333
"53",2010,19.6298061294766,389.9
"54",2011,19.4560402892562,391.649166666667
"55",2012,19.4687441460055,393.870833333333
"56",2013,19.8770071538068,396.566666666667
